Empresa,Segmento,Telefone,Cidade,Google Maps,Possui site?,Mensagem,PDF,Status,Primeiro contato,Último contato,Resposta,Opt-out,Observações,ID do modelo
Consultório Odontológico,Odontologia,4734382207,Joinville,https://www.google.com/maps/place/Consult%C3%B3rio+Odontol%C3%B3gico/data=!4m7!3m6!1s0x94deb6d24e492f4d:0x37071c820958465c!8m2!3d-26.3568997!4d-48.8317088!16s%2Fg%2F11b896mndf!19sChIJTS9JTtK23pQRXEZYCYIcBzc,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
OdontoPara,Odontologia,47999893588,Joinville,https://www.google.com/maps/place/OdontoPara/data=!4m7!3m6!1s0x94deb113833910ed:0x9c93b3b0d9b5eeb3!8m2!3d-26.3452836!4d-48.8334833!16s%2Fg%2F11n4q8nxsv!19sChIJ7RA5gxOx3pQRs-612bCzk5w,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Orallis Odontologia | Dentista Joinville,Odontologia,47988685198,Joinville,https://www.google.com/maps/place/Orallis+Odontologia+%7C+Dentista+Joinville/data=!4m7!3m6!1s0x94dea5214dba693f:0x909071dcdbfd1102!8m2!3d-26.3008007!4d-48.8475024!16s%2Fg%2F11y92978r_!19sChIJP2m6TSGl3pQRAhH929xxkJA,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Odontovillas,Odontologia,4730316980,Joinville,https://www.google.com/maps/place/Odontovillas/data=!4m7!3m6!1s0x94deb15b94c4bc75:0x77df662093238552!8m2!3d-26.2990362!4d-48.8475814!16s%2Fg%2F11mry5r92h!19sChIJdbzElFux3pQRUoUjkyBm33c,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Refinate Odontologia Joinville,Odontologia,47997240026,Joinville,https://www.google.com/maps/place/Refinate+Odontologia+Joinville/data=!4m7!3m6!1s0x94deb1c8e6f913c5:0x1163ce3122c5377f!8m2!3d-26.3026111!4d-48.8472259!16s%2Fg%2F11wy0fmlr2!19sChIJxRP55six3pQRfzfFIjHOYxE,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Dr. Matusa - Consultório Odontológico,Odontologia,47988612828,Joinville,https://www.google.com/maps/place/Dr.+Matusa+-+Consult%C3%B3rio+Odontol%C3%B3gico/data=!4m7!3m6!1s0x94deb0377fe2f729:0x4715100bd6d9c8f9!8m2!3d-26.299214!4d-48.849795!16s%2Fg%2F119x413w7!19sChIJKffifzew3pQR-cjZ1gsQFUc,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Dr Jhonata Antunes - | Clínica Monet,Odontologia,47988854177,Joinville,https://www.google.com/maps/place/Dr+Jhonata+Antunes+-+%7C+Cl%C3%ADnica+Monet/data=!4m7!3m6!1s0x94deb144b28c8ecd:0xd429e6a66dc2260!8m2!3d-26.2968369!4d-48.8519971!16s%2Fg%2F11r9vhj5n7!19sChIJzY6MskSx3pQRYCLcZmqeQg0,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Clinica Lucas Mendes,Odontologia,47992918678,Joinville,https://www.google.com/maps/place/Clinica+Lucas+Mendes/data=!4m7!3m6!1s0x94deb124c53d0061:0x5125122dea7af51e!8m2!3d-26.3028172!4d-48.8511776!16s%2Fg%2F11zbd5y8bv!19sChIJYQA9xSSx3pQRHvV66i0SJVE,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Farfan Odontologia,Odontologia,47999742745,Joinville,https://www.google.com/maps/place/Farfan+Odontologia/data=!4m7!3m6!1s0x94deb1e417e9a095:0x15b530b97dfe3aef!8m2!3d-26.297589!4d-48.8518714!16s%2Fg%2F11mhhw5ykn!19sChIJlaDpF-Sx3pQR7zr-fbkwtRU,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Dra. Iessa Glenda,Odontologia,47984484314,Joinville,https://www.google.com/maps/place/Dra.+Iessa+Glenda/data=!4m7!3m6!1s0x94deb1990a569f07:0x612652474752f213!8m2!3d-26.2968369!4d-48.8519971!16s%2Fg%2F11ngjjxfbq!19sChIJB59WCpmx3pQRE_JSR0dSJmE,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Beltrame Odontologia,Odontologia,4734230375,Joinville,https://www.google.com/maps/place/Beltrame+Odontologia/data=!4m7!3m6!1s0x94deb12bc94d9351:0xbc882eb4384c8b6f!8m2!3d-26.2925169!4d-48.8482893!16s%2Fg%2F11h3ng5srv!19sChIJUZNNySux3pQRb4tMOLQuiLw,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Dra Marianne Lara - Amis Odontologia,Odontologia,47999464298,Joinville,https://www.google.com/maps/place/Dra+Marianne+Lara+-+Amis+Odontologia/data=!4m7!3m6!1s0x94deb17d53a36fdb:0xe30ff9b13782db98!8m2!3d-26.2885673!4d-48.846041!16s%2Fg%2F11hv5fk8zc!19sChIJ22-jU32x3pQRmNuCN7H5D-M,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Odontologia,Odontologia,47984157587,Joinville,https://www.google.com/maps/place/Odontologia/data=!4m7!3m6!1s0x94deb04473aafd9b:0x46994eedaf4fbf1d!8m2!3d-26.3095177!4d-48.8543729!16s%2Fg%2F11bv2gzsl7!19sChIJm_2qc0Sw3pQRHb9Pr-1OmUY,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Studio A Odontologia,Odontologia,47999206604,Joinville,https://www.google.com/maps/place/Studio+A+Odontologia/data=!4m7!3m6!1s0x94deb1be2fb90591:0x57b594f877475d6d!8m2!3d-26.3044878!4d-48.8538452!16s%2Fg%2F11z7fr5b0t!19sChIJkQW5L76x3pQRbV1Hd_iUtVc,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Rosa Instituto Odontologico,Odontologia,47999291415,Joinville,https://www.google.com/maps/place/Rosa+Instituto+Odontologico/data=!4m7!3m6!1s0x94deb104e20029c7:0xf566b6fc8f9f839!8m2!3d-26.3090486!4d-48.8542595!16s%2Fg%2F11n31ht4zt!19sChIJxykA4gSx3pQROfj5yG9rVg8,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Dra Izabelle Rost,Odontologia,47997924526,Joinville,https://www.google.com/maps/place/Dra+Izabelle+Rost/data=!4m7!3m6!1s0x81e47f9f474d535:0x58e00a2cfbe5fafc!8m2!3d-26.3002956!4d-48.8532897!16s%2Fg%2F11wbgmk_rn!19sChIJNdV09PlHHggR_Prl-ywK4Fg,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
GL Dental Care,Odontologia,47991754319,Joinville,https://www.google.com/maps/place/GL+Dental+Care/data=!4m7!3m6!1s0x94deb1403b2349b5:0x9c65a914abe89a61!8m2!3d-26.3027067!4d-48.8510202!16s%2Fg%2F11ygtlbttw!19sChIJtUkjO0Cx3pQRYZroqxSpZZw,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
Implantodontia | Clínica de Implantes Dentários,Odontologia,4730280603,Joinville,https://www.google.com/maps/place/Implantodontia+%7C+Cl%C3%ADnica+de+Implantes+Dent%C3%A1rios/data=!4m7!3m6!1s0x94deb16326e2c08d:0xb7be545a4f653159!8m2!3d-26.3118159!4d-48.850018!16s%2Fg%2F11z0kx5h06!19sChIJjcDiJmOx3pQRWTFlT1pUvrc,Não,,,Pendente,,,,Não,Google Maps exibe Adicionar website; verificado em 13/08/2026.,odontologia
